Year,Country,GDP
1815,Austria,0
1815,Belgium,0
1815,Denmark,0
1815,Finland,0
1815,France,0
1815,Germany,0
1815,Netherlands,1876
1815,Norway,0
1815,Sweden,885
1815,Switzerland,0
1815,England,2189
1815,Greece,0
1815,Portugal,0
1815,Spain,0
1815,Australia,0
1815,New Zealand,0
1815,Canada,0
1815,USA,1427
1816,Austria,0
1816,Belgium,0
1816,Denmark,0
1816,Finland,0
1816,France,0
1816,Germany,0
1816,Netherlands,1788
1816,Norway,0
1816,Sweden,902
1816,Switzerland,0
1816,England,2039
1816,Greece,0
1816,Portugal,0
1816,Spain,0
1816,Australia,0
1816,New Zealand,0
1816,Canada,0
1816,USA,1369
1817,Austria,0
1817,Belgium,0
1817,Denmark,0
1817,Finland,0
1817,France,0
1817,Germany,0
1817,Netherlands,1805
1817,Norway,0
1817,Sweden,876
1817,Switzerland,0
1817,England,2041
1817,Greece,0
1817,Portugal,0
1817,Spain,0
1817,Australia,0
1817,New Zealand,0
1817,Canada,0
1817,USA,1368
1818,Austria,0
1818,Belgium,0
1818,Denmark,0
1818,Finland,0
1818,France,0
1818,Germany,0
1818,Netherlands,1834
1818,Norway,0
1818,Sweden,883
1818,Switzerland,0
1818,England,2008
1818,Greece,0
1818,Portugal,0
1818,Spain,0
1818,Australia,0
1818,New Zealand,0
1818,Canada,0
1818,USA,1372
1819,Austria,0
1819,Belgium,0
1819,Denmark,0
1819,Finland,0
1819,France,0
1819,Germany,0
1819,Netherlands,1749
1819,Norway,0
1819,Sweden,875
1819,Switzerland,0
1819,England,1947
1819,Greece,0
1819,Portugal,0
1819,Spain,0
1819,Australia,0
1819,New Zealand,0
1819,Canada,0
1819,USA,1369
1820,Austria,1218
1820,Belgium,0
1820,Denmark,1274
1820,Finland,781
1820,France,1135
1820,Germany,0
1820,Netherlands,1874
1820,Norway,801
1820,Sweden,888
1820,Switzerland,0
1820,England,2074
1820,Greece,0
1820,Portugal,923
1820,Spain,0
1820,Australia,518
1820,New Zealand,0
1820,Canada,904
1820,USA,1361
1821,Austria,0
1821,Belgium,0
1821,Denmark,1320
1821,Finland,0
1821,France,1225
1821,Germany,0
1821,Netherlands,1836
1821,Norway,0
1821,Sweden,914
1821,Switzerland,0
1821,England,2075
1821,Greece,0
1821,Portugal,0
1821,Spain,0
1821,Australia,523
1821,New Zealand,0
1821,Canada,0
1821,USA,1382
1822,Austria,0
1822,Belgium,0
1822,Denmark,1327
1822,Finland,0
1822,France,1176
1822,Germany,0
1822,Netherlands,1853
1822,Norway,0
1822,Sweden,919
1822,Switzerland,0
1822,England,2080
1822,Greece,0
1822,Portugal,0
1822,Spain,0
1822,Australia,538
1822,New Zealand,0
1822,Canada,0
1822,USA,1420
1823,Austria,0
1823,Belgium,0
1823,Denmark,1308
1823,Finland,0
1823,France,1213
1823,Germany,0
1823,Netherlands,1945
1823,Norway,0
1823,Sweden,909
1823,Switzerland,0
1823,England,2107
1823,Greece,0
1823,Portugal,0
1823,Spain,0
1823,Australia,556
1823,New Zealand,0
1823,Canada,0
1823,USA,1405
1824,Austria,0
1824,Belgium,0
1824,Denmark,1328
1824,Finland,0
1824,France,1246
1824,Germany,0
1824,Netherlands,1931
1824,Norway,0
1824,Sweden,933
1824,Switzerland,0
1824,England,2191
1824,Greece,0
1824,Portugal,0
1824,Spain,0
1824,Australia,587
1824,New Zealand,0
1824,Canada,0
1824,USA,1443
1825,Austria,0
1825,Belgium,0
1825,Denmark,1322
1825,Finland,0
1825,France,1191
1825,Germany,0
1825,Netherlands,1882
1825,Norway,0
1825,Sweden,958
1825,Switzerland,0
1825,England,2209
1825,Greece,0
1825,Portugal,0
1825,Spain,0
1825,Australia,616
1825,New Zealand,0
1825,Canada,0
1825,USA,1475
1826,Austria,0
1826,Belgium,0
1826,Denmark,1324
1826,Finland,0
1826,France,1223
1826,Germany,0
1826,Netherlands,1912
1826,Norway,0
1826,Sweden,961
1826,Switzerland,0
1826,England,2064
1826,Greece,0
1826,Portugal,0
1826,Spain,0
1826,Australia,627
1826,New Zealand,0
1826,Canada,0
1826,USA,1485
1827,Austria,0
1827,Belgium,0
1827,Denmark,1349
1827,Finland,0
1827,France,1197
1827,Germany,0
1827,Netherlands,2025
1827,Norway,0
1827,Sweden,915
1827,Switzerland,0
1827,England,2195
1827,Greece,0
1827,Portugal,0
1827,Spain,0
1827,Australia,646
1827,New Zealand,0
1827,Canada,0
1827,USA,1491
1828,Austria,0
1828,Belgium,0
1828,Denmark,1357
1828,Finland,0
1828,France,1190
1828,Germany,0
1828,Netherlands,2068
1828,Norway,0
1828,Sweden,932
1828,Switzerland,0
1828,England,2171
1828,Greece,0
1828,Portugal,0
1828,Spain,0
1828,Australia,663
1828,New Zealand,0
1828,Canada,0
1828,USA,1491
1829,Austria,0
1829,Belgium,0
1829,Denmark,1324
1829,Finland,0
1829,France,1221
1829,Germany,0
1829,Netherlands,2072
1829,Norway,0
1829,Sweden,945
1829,Switzerland,0
1829,England,2160
1829,Greece,0
1829,Portugal,0
1829,Spain,0
1829,Australia,699
1829,New Zealand,0
1829,Canada,0
1829,USA,1442
1830,Austria,1399
1830,Belgium,0
1830,Denmark,1330
1830,Finland,0
1830,France,1191
1830,Germany,0
1830,Netherlands,1893
1830,Norway,835
1830,Sweden,921
1830,Switzerland,0
1830,England,2227
1830,Greece,0
1830,Portugal,0
1830,Spain,0
1830,Australia,848
1830,New Zealand,0
1830,Canada,1000
1830,USA,1547
